t,x,y,z,w
1735187277.671097,-0.002841444814447437,0.024716955275866433,0.020921314049292764,0.9994715088143874
1735187277.70441,-0.002174874553197785,0.028031339128506225,0.019887975043412526,0.999406815263941
1735187277.7377129,-0.0005119486242503398,0.02727428707406022,0.021640070270728104,0.999393595402675
1735187277.7710428,-0.0008975100118406607,0.028872146808096057,0.02086930742764561,0.9993648310912091
1735187277.804471,-0.0012788514582438492,0.03086696391918391,0.017519181959595984,0.9993691376767776
1735187277.837796,-0.004592771871774507,0.02863112943027643,0.017535255379018264,0.9994256749217889
1735187277.8710852,-0.0001518365868025547,0.028488641695820355,0.01773363536613698,0.9994367876042382
1735187277.9044151,-0.00032574604425022536,0.02957221066324707,0.014400179735880474,0.9994588601186031
1735187277.937873,-0.004666439175389506,0.02967417986558052,0.013634526510869958,0.9994557354288143
1735187277.982295,-0.00038577686299879645,0.02915393788869301,0.01634860825045426,0.9994411548911059
1735187278.015791,-0.0012003407885403494,0.029011390165404622,0.016803644005141526,0.999437109562583
1735187278.049447,-0.0021915245972450653,0.03191573696687473,0.015930304880822206,0.9993612001374703
1735187278.084012,-0.0057706269729178245,0.029888549820645923,0.014567747623578958,0.9994304153782463
1735187278.115761,0.0011752628001091086,0.03107504335894412,0.01507582738368349,0.999402661526518
1735187278.1494231,-0.003729945684020402,0.030059841692209606,0.019434768308434637,0.9993521817674843
1735187278.182578,-0.001140643391018635,0.028387326991017047,0.020265666154518656,0.9993908951827974
1735187278.215624,0.002643828719622351,0.03299554423243806,0.018823100713471565,0.9992747345500321
1735187278.2491422,-0.001789361989898051,0.03194937203913745,0.013414896784713167,0.9993978568889516
1735187278.282318,-0.0021432536955587876,0.031755086631358787,0.013069858626769203,0.999407924589408
1735187278.293414,-0.0019051304837585073,0.031701373651171275,0.013480088972328769,0.9994046630808597
1735187278.304662,-0.0011597425884907462,0.03174289491263601,0.014543508317442113,0.9993895786856667
1735187278.315697,-0.0015393572355780695,0.031907164294766546,0.014274364019334665,0.9993877154427162
1735187278.32671,-0.002208193563181188,0.032181308030761344,0.01368706857496824,0.9993858871569283
1735187278.337992,-0.003165491427247798,0.032564918630003735,0.012781246673020098,0.9993828823189482
1735187278.349063,-0.0027673831013061245,0.03237625228468076,0.013643050457611446,0.9993788005821318
