t,x,y,z
1735187277.671097,-0.18748423,0.0011922366,0.01789693
1735187277.70441,-0.1873022,0.0010467616,0.017254267
1735187277.7377129,-0.18776606,0.0015375525,0.017366262
1735187277.7710428,-0.1877451,0.0013656976,0.016868263
1735187277.804471,-0.18735716,0.0010668341,0.016500285
1735187277.837796,-0.18708709,0.0010907603,0.017123714
1735187277.8710852,-0.18755692,0.0013484852,0.017028997
1735187277.9044151,-0.1880974,0.000814176,0.016846739
1735187277.937873,-0.18807134,0.00056438905,0.01683203
1735187277.982295,-0.1881144,0.0010367219,0.017001998
1735187278.015791,-0.18803614,0.0011320442,0.01702929
1735187278.049447,-0.18793084,0.00095849484,0.016384883
1735187278.084012,-0.1877808,0.0008232015,0.016956955
1735187278.115761,-0.18790898,0.00085119955,0.016587464
1735187278.1494231,-0.1877101,0.0012152056,0.01681882
1735187278.182578,-0.18790871,0.0015462352,0.01727035
1735187278.215624,-0.18797548,0.0010221732,0.01602874
1735187278.2491422,-0.18836617,0.0005217192,0.01637383
1735187278.282318,-0.18845876,0.00047217304,0.016454637
1735187278.293414,-0.18852657,0.00048600143,0.016512835
1735187278.304662,-0.18857479,0.0005555354,0.016550492
1735187278.315697,-0.18861783,0.00059153594,0.016517684
1735187278.32671,-0.18864836,0.0006398315,0.016439991
1735187278.337992,-0.18866621,0.00070009107,0.016317226
1735187278.349063,-0.18865632,0.00085577427,0.016338792
1735187278.360112,-0.1886272,0.001060277,0.016397858
1735187278.371128,-0.18857789,0.0013089881,0.016499277
1735187278.3823462,-0.18850055,0.0013561947,0.01661641
1735187278.393509,-0.18839926,0.0013281052,0.016762245
1735187278.404409,-0.18827596,0.0012267584,0.016923713
1735187278.415851,-0.18816076,0.0010079348,0.016898962
1735187278.4266791,-0.1880381,0.00069536816,0.016789863
1735187278.437891,-0.18790749,0.0002891921,0.016596772
1735187278.449111,-0.18791218,0.00035558591,0.016690388
1735187278.459918,-0.18797213,0.00057592883,0.016868528
1735187278.471062,-0.18808348,0.0009548804,0.017131012
1735187278.482182,-0.18802123,0.0010161703,0.017274259
1735187278.4933028,-0.18790102,0.0010036088,0.017401692
1735187278.504455,-0.18772951,0.00092437916,0.017510634
1735187278.515806,-0.18768537,0.0009716751,0.017548984
1735187278.526802,-0.18767746,0.0010462856,0.017543375
1735187278.545282,-0.18770583,0.0011486557,0.017493822
1735187278.560511,-0.18771861,0.0012793681,0.01739369
1735187278.560581,-0.18774444,0.001439557,0.017247554
1735187278.57123,-0.18778148,0.0016281459,0.017054318
1735187278.582281,-0.18799327,0.0015912057,0.017047731
1735187278.593277,-0.1882896,0.0014690009,0.017098928
1735187278.6044111,-0.1886635,0.001255875,0.01720787
1735187278.615632,-0.18874599,0.0010734841,0.017117282
1735187278.629343,-0.18872523,0.0008593393,0.016958399
1735187278.637846,-0.18860072,0.0006140819,0.016731448
1735187278.64909,-0.18856664,0.00052935316,0.016577004
1735187278.660122,-0.18851575,0.0004978826,0.016418995
1735187278.671168,-0.18845388,0.0005264031,0.016260324
1735187278.6822371,-0.18845105,0.0004644693,0.016451143
1735187278.693368,-0.18846817,0.00039145377,0.016797483
1735187278.704384,-0.1885061,0.000305862,0.017309966
1735187278.715622,-0.18846607,0.00030273246,0.017446728
1735187278.726757,-0.18840268,0.00032821324,0.017502978
1735187278.737783,-0.1883136,0.0003859102,0.017465264
1735187278.748935,-0.18828176,0.00047925636,0.01748669
1735187278.760061,-0.1882618,0.0006060515,0.017483443
1735187278.772098,-0.18825284,0.000763297,0.017464094
1735187278.782478,-0.18814762,0.00087377446,0.017584624
1735187278.793617,-0.18800072,0.0009764581,0.017764855
1735187278.804594,-0.18781205,0.0010716025,0.018004568
1735187278.815854,-0.18782622,0.0010426195,0.018013176
1735187278.826754,-0.18790941,0.00095269084,0.017952321
1735187278.837764,-0.18806784,0.0007989256,0.017812384
1735187278.8489962,-0.18813623,0.0007773693,0.0177719
1735187278.860225,-0.18820533,0.00078172004,0.017732274
1735187278.871247,-0.18827105,0.00081501924,0.017695885
1735187278.8823771,-0.1883442,0.00076195586,0.017569907
1735187278.893363,-0.1884192,0.000682056,0.017400917
1735187278.904613,-0.1884953,0.00057898473,0.017195147
1735187278.915982,-0.1885562,0.0005693735,0.017190682
1735187278.926766,-0.18861043,0.0005938858,0.017266486
1735187278.937834,-0.18865798,0.0006525662,0.017422661
1735187278.948961,-0.18866126,0.0005830282,0.017389322
1735187278.960163,-0.18864116,0.00047596334,0.017312143
1735187278.971091,-0.18859766,0.00033326467,0.017188624
1735187278.982196,-0.18858165,0.00043547162,0.017168477
1735187278.993296,-0.1885672,0.0006395727,0.017175047
1735187279.00458,-0.18855426,0.00094543427,0.01720835
1735187279.015544,-0.18854731,0.00089707953,0.017161144
1735187279.026682,-0.18854396,0.00074306136,0.01709561
1735187279.03786,-0.18854386,0.00047229137,0.017006617
1735187279.049056,-0.18850762,0.00037775974,0.017009392
1735187279.0599852,-0.18845686,0.00030022787,0.017040947
1735187279.071132,-0.18839069,0.00024653933,0.017104253
1735187279.082212,-0.18835303,0.0002766845,0.017100798
1735187279.093456,-0.18832007,0.00035783584,0.017084334
1735187279.1045542,-0.18828906,0.0004879695,0.017053159
1735187279.115767,-0.1881205,0.00050096243,0.017019954
1735187279.12658,-0.18788539,0.00048165076,0.016978456
1735187279.137934,-0.18758334,0.00042985467,0.016928786
1735187279.148885,-0.18745169,0.00047226256,0.016989172
1735187279.160013,-0.18736066,0.00053843873,0.017094875
1735187279.171272,-0.18731615,0.0006325549,0.017248861
1735187279.1825562,-0.18737587,0.0006621925,0.017212717
1735187279.1936378,-0.18750829,0.0006778541,0.01711681
1735187279.204753,-0.18771522,0.0006771984,0.016954422
1735187279.216079,-0.18783687,0.0006897301,0.016913377
1735187279.227056,-0.1879608,0.0007004592,0.016891178
1735187279.238312,-0.18808264,0.0007092502,0.016892971
1735187279.249567,-0.18806246,0.00069034577,0.01696978
1735187279.260674,-0.18797667,0.0006591134,0.017093463
1735187279.271697,-0.18782146,0.00061382866,0.017265169
1735187279.2828488,-0.18780193,0.000589758,0.017238112
