t,x,y,z,w
1735187279.238312,3.0340342865315426e-12,-1.2996256834831556e-11,3.8874309249343913e-10,1.0
1735187279.249567,-5.958606602069662e-09,-4.386332780683355e-08,-1.1880745655962703e-08,0.9999999999999989
1735187279.260674,-5.570806557080644e-09,-6.41921364192135e-08,-9.831202233120201e-09,0.9999999999999979
1735187279.271697,-2.1988861075556944e-09,1.3234879088256044e-08,1.2581061120946942e-09,1.0
1735187279.2828488,-6.942630208278901e-09,3.6673821100214606e-08,2.08247371247421e-09,0.9999999999999993
1735187279.293956,-1.722278499999998e-09,4.844176374999995e-08,-2.0166349999999996e-10,0.9999999999999989
1735187279.304998,4.854530098815418e-09,4.635139044325028e-09,-6.709557457720342e-09,0.9999999999999999
1735187279.316125,-2.319734334013269e-09,1.0805249959737436e-07,1.675921091203935e-08,0.999999999999994
1735187279.328301,1.1161941279048503e-08,6.929845423246117e-08,9.305916732647895e-09,0.9999999999999974
1735187279.338049,-6.756837081079069e-09,3.049383173765418e-08,1.0408924664776876e-08,0.9999999999999993
1735187279.349554,-5.746434249999958e-09,1.1938045249999913e-07,2.3853281249999828e-08,0.9999999999999927
1735187279.3607268,-7.292960734549687e-09,-5.5326454969071325e-08,-1.490251251183916e-08,0.9999999999999983
1735187279.3717651,-1.200191147485654e-08,-1.2366787822490813e-07,-3.0965943677553975e-08,0.9999999999999918
1735187279.382856,-1.3110784393323362e-08,-1.5829656974889505e-07,-2.7249004817469793e-08,0.999999999999987
1735187279.393964,-7.691596307710062e-09,8.491951787701172e-08,4.319387392015298e-09,0.9999999999999962
1735187279.405087,2.1984452499999972e-09,4.619231749999995e-08,-3.340342099999996e-09,0.9999999999999989
1735187279.41606,2.2749518251223296e-08,1.3298524231418713e-07,4.072988599014336e-09,0.9999999999999909
1735187279.427222,1.0778071347258916e-08,-2.900914612614326e-09,-6.284696185587023e-09,0.9999999999999999
1735187279.438359,5.751294906088133e-09,-3.734593658175791e-08,9.2016303497962e-09,0.9999999999999993
1735187279.450032,-1.7248853568778522e-08,-1.2307467942313204e-07,1.213543894661393e-08,0.9999999999999922
1735187279.4606528,-3.2619496294024957e-09,-1.1773602911319771e-07,5.768548461572537e-10,0.9999999999999931
1735187279.471745,-1.5202135739893136e-08,-9.829846008507649e-08,8.349571982521359e-09,0.9999999999999951
1735187279.482911,-4.235747076425276e-10,-9.536699796329979e-08,-7.270363397963628e-09,0.9999999999999956
1735187279.4934878,4.496441562944805e-09,-6.5818408022699e-09,-8.57184352851956e-09,1.0
1735187279.505465,5.703550627390555e-09,6.842229502645228e-08,-8.196163651577982e-09,0.9999999999999976
1735187279.5158648,-4.31863760796594e-09,2.285665407141635e-09,-4.076871951921798e-09,1.0
1735187279.526828,-1.1079477220166016e-08,-7.828371758844163e-09,8.767008244855534e-09,0.9999999999999999
1735187279.538079,-1.4971467751426557e-08,-8.403225079838716e-08,1.7284138035793036e-09,0.9999999999999964
1735187279.549299,-1.0897566455121627e-08,-9.695941515202881e-08,-3.4256918287153935e-09,0.9999999999999953
1735187279.560271,-8.47111644008968e-10,-1.6263876264858744e-07,-2.7607942943349923e-08,0.9999999999999865
1735187279.571226,1.706036153543252e-08,-4.124874871238734e-08,-9.469228602230562e-09,0.9999999999999989
1735187279.58242,2.114642563535731e-08,-1.0576706442329293e-07,-1.606229264377064e-08,0.999999999999994
1735187279.593567,1.2225296050138306e-08,-5.0341312265358985e-08,-2.3817459321785636e-09,0.9999999999999987
1735187279.6045918,1.2503639187700153e-08,4.627435052508927e-10,7.747916926135429e-09,0.9999999999999999
1735187279.6159558,1.5693450578467167e-08,1.0192058300960235e-07,1.7525089587625353e-08,0.9999999999999946
1735187279.626886,1.3064502968547607e-08,9.048567747671189e-08,5.242967163363172e-09,0.9999999999999958
1735187279.6378531,1.0306670809200072e-08,1.0162543804876261e-07,5.430128912903839e-09,0.9999999999999948
1735187279.6490688,4.259556575040136e-10,4.465778352880073e-08,-1.2196512396529162e-08,0.999999999999999
1735187279.660229,7.875558986266761e-09,4.4745070842352075e-08,-1.3964828918944853e-08,0.9999999999999989
1735187279.6713362,7.30443517066527e-09,3.482122497318371e-08,-1.3047556957133533e-08,0.9999999999999992
1735187279.682451,2.6356349023273686e-08,9.568173532386936e-08,-1.997738375169612e-08,0.9999999999999949
1735187279.693523,2.728497080887281e-09,5.823089586731718e-11,-1.352628201447115e-08,0.9999999999999999
1735187279.704525,-9.506730779245191e-10,-3.4888106533392006e-11,-1.495190212860734e-08,1.0
1735187279.716037,-1.6864700000000003e-08,-3.67336738e-10,-7.68043625e-10,1.0
1735187279.726863,-6.319414684029259e-09,-3.957106077144692e-08,-3.118923394053827e-09,0.9999999999999991
1735187279.7378922,-1.3940713591107028e-08,-3.9522750928412606e-08,4.602711190406675e-09,0.9999999999999991
1735187279.749137,-1.2359085685386249e-08,6.493017597395244e-08,4.055804410837054e-08,0.999999999999997
1735187279.760649,5.400879790087944e-09,1.0532276553227588e-07,4.128532537853227e-08,0.9999999999999936
1735187279.771205,4.3011790994881935e-09,7.780892672191045e-08,4.107004083929944e-08,0.9999999999999962
1735187279.782659,-6.347930003917164e-09,9.237896869515822e-08,5.334316088372614e-08,0.9999999999999943
1735187279.79351,-1.3931959249999963e-08,-6.695730499999983e-08,2.657785549999993e-08,0.9999999999999973
1735187279.8045158,-1.561884770235583e-08,-1.290009336251156e-07,8.407621300952593e-09,0.9999999999999916
1735187279.815932,-3.3247391662369545e-09,-4.628849731442482e-08,-1.6868975843448783e-10,0.9999999999999989
1735187279.826793,-4.340124815987516e-09,2.515678798432119e-08,1.1661917708808222e-08,0.9999999999999996
1735187279.837867,-1.6366710909167728e-08,-7.055063026376556e-08,-6.980240924506004e-09,0.9999999999999973
1735187279.849022,-1.4326643040830361e-08,4.726219715777458e-08,3.6716988339623494e-09,0.9999999999999988
1735187279.860178,-2.663577814721996e-08,-6.813575363221765e-08,4.152914598762302e-09,0.9999999999999973
1735187279.8712049,-3.850611161204153e-09,6.848197486385172e-08,6.974397726920154e-09,0.9999999999999976
1735187279.882392,-6.849454493818186e-09,2.620419497447562e-08,-2.5750485531189297e-09,0.9999999999999996
1735187279.8935142,-4.3631187750940605e-09,1.4374441781277909e-11,3.919094854045256e-09,1.0
1735187279.904491,-2.553880102155202e-09,3.8288854031554134e-08,5.0629765025190565e-09,0.9999999999999992
1735187279.915983,-1.943382854246285e-09,2.8135568139832374e-08,5.805676064574293e-09,0.9999999999999996
1735187279.926875,8.132535132530952e-09,-6.842713913261349e-08,-1.703131414532336e-08,0.9999999999999974
1735187279.937882,-5.6845937157703056e-09,-5.3578719821063916e-08,-1.303851634807416e-08,0.9999999999999984
1735187279.949075,-2.0154381238421403e-08,9.371407887144407e-09,7.2802842039786834e-09,0.9999999999999998
1735187279.960135,-9.149902992504843e-09,-3.2416853379157306e-08,-8.006884224655782e-09,0.9999999999999993
1735187279.971169,-1.650539123790431e-08,-6.077542805815698e-08,-3.2092425156931824e-09,0.999999999999998
1735187279.982569,-1.1629705627772026e-08,9.099679817523973e-08,1.8081394643895324e-08,0.9999999999999956
1735187279.993449,1.601950979853636e-08,2.2369332822299473e-07,1.9073399819494533e-08,0.9999999999999747
1735187280.0087562,-3.3298841499999964e-09,4.7154356749999944e-08,4.980992224999994e-09,0.9999999999999989
1735187280.015631,2.321846656323164e-08,-2.5935889538780663e-09,-1.8078527163742246e-08,0.9999999999999996
1735187280.026808,-3.094636546419535e-09,-9.031603385474013e-08,-1.635188724527824e-08,0.9999999999999958
1735187280.037915,-3.714376886431307e-09,-2.2555419826662595e-10,-6.241865587255967e-09,1.0
1735187280.04914,-9.881269520777832e-09,1.9070281412700754e-10,8.200715814874731e-10,1.0
1735187280.0601869,-1.7133062106653073e-08,5.006223000311141e-08,2.1834014841700703e-08,0.9999999999999983
1735187280.071245,8.491017363173673e-10,7.607145679464052e-08,7.048144971389107e-09,0.9999999999999971
1735187280.082422,1.1502914172543711e-08,1.8342048900130735e-10,-6.969637229544557e-09,0.9999999999999999
1735187280.093518,2.7613457988653998e-08,1.1758011574198757e-07,3.750368799963093e-09,0.9999999999999927
1735187280.1045508,1.9232167788482503e-08,3.7394653310919765e-08,-8.770219631553288e-09,0.9999999999999991
1735187280.116087,4.074490773137637e-08,2.0979912225501714e-07,-1.7562193310944767e-09,0.9999999999999771
1735187280.1270308,2.447337730266215e-08,9.339123316087624e-08,-1.5855875164412407e-08,0.9999999999999953
1735187280.137936,1.9020475627559382e-08,8.441326305165755e-08,-7.807911975988966e-09,0.9999999999999962
1735187280.149104,-1.3431355865686421e-08,-5.2335526976644646e-08,-2.203832077961676e-09,0.9999999999999984
1735187280.160056,-4.6407411519444115e-09,-2.7386980945976417e-08,-3.790072565744556e-09,0.9999999999999996
1735187280.171081,9.42055514130832e-09,3.562303403434549e-08,-6.662494849937419e-09,0.9999999999999993
1735187280.182262,1.5602439154219326e-08,1.5832452424920517e-07,1.2550453879540689e-08,0.9999999999999872
1735187280.1967812,1.3154325249999962e-08,7.454896149999978e-08,-2.3314999999999867e-11,0.9999999999999971
1735187280.2045388,1.1124935251866246e-08,4.662426229427535e-08,2.623653029193156e-09,0.9999999999999989
1735187280.215653,-5.295027154250375e-09,-1.103515591552727e-07,-1.5651442734771544e-09,0.9999999999999939
1735187280.22673,-6.575160927385455e-09,-3.7773376705269454e-08,5.032986702144131e-09,0.9999999999999992
1735187280.23778,-8.149690685030795e-09,-1.8132617686737928e-07,-2.3244231675576446e-08,0.9999999999999833
1735187280.248914,-1.9312489585938795e-08,-2.559925555009305e-08,2.3444075819490515e-09,0.9999999999999996
1735187280.2600331,-1.418163918637702e-08,7.343583199231238e-08,1.3368870247334693e-08,0.9999999999999971
1735187280.271054,-1.0577399163390088e-09,8.428466985729923e-08,9.72497604125356e-10,0.9999999999999964
1735187280.2821388,1.787506321500237e-08,1.3186989777479475e-07,-9.940118547604654e-09,0.9999999999999911
1735187280.2932482,1.4559330408050148e-08,9.76525376760592e-08,-7.709324046800659e-09,0.9999999999999951
1735187280.3043032,-2.3743312523796148e-08,-9.11305639035011e-08,-1.2630568773502323e-09,0.9999999999999956
1735187280.315554,5.912843182155877e-09,-4.7935576814201835e-08,-2.477841223005706e-08,0.9999999999999984
1735187280.326846,4.371939165579087e-09,3.768949235284239e-09,-7.007368605110529e-09,1.0
1735187280.337692,8.305816334709181e-09,-7.1044827697758605e-09,9.642423267878835e-09,1.0
1735187280.3488832,1.0128658144298719e-08,-1.8816168822425315e-08,-2.436118877917831e-09,0.9999999999999998
1735187280.359993,4.503817075e-09,-7.2177481525e-09,4.45888065e-09,1.0
1735187280.371045,-2.556546690044601e-09,-2.1855102305979605e-10,1.0302805713626258e-08,1.0
1735187280.382286,1.1225951357091662e-08,8.168754964093547e-08,2.2006084979786948e-08,0.9999999999999964
1735187280.393644,2.5486058274302825e-08,7.851255892562767e-08,7.873753143687629e-09,0.9999999999999966
1735187280.404347,2.6479549499999854e-08,1.0067625999999944e-07,1.673300074999991e-08,0.9999999999999944
1735187280.415479,1.610577695793317e-08,-1.094509357088195e-07,-6.413495231012104e-09,0.9999999999999939
1735187280.426583,1.710704140125353e-08,-4.4083889707063804e-08,-1.4807144481749924e-08,0.9999999999999987
1735187280.437684,2.353993754469627e-08,1.5536847604526425e-07,1.1087624734819222e-08,0.9999999999999876
1735187280.449489,8.669538400430759e-09,7.33947160092074e-09,-1.2655339898300983e-08,0.9999999999999999
1735187280.460206,1.566452343354764e-08,4.2325529517447e-08,-9.062761218723868e-09,0.9999999999999989
