time,type,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z
1735193290.4289908,handAnchor,0.3358158,-0.079893656,0.93853325,0.48918983,0.86627513,-0.10129401,-0.8049354,0.49313703,0.3299921,0.13341907,0.58339727,-0.26002657
1735193290.4289908,indexFingerTipParent,1.0,2.9411284e-08,2.840519e-08,-3.910383e-10,1.0,3.7669103e-09,2.840519e-08,3.7669103e-09,1.0,-0.022118598,0.0005515134,-0.0004427731
1735193290.4289908,indexFingerTipAnchor,0.7132155,0.64797306,0.26731095,-0.64593375,0.75566626,-0.10834317,-0.27220133,-0.09539309,0.9575003,-0.1702097,-0.04274113,-0.008633165
1735193290.4623141,handAnchor,0.3373306,-0.090383604,0.9370372,0.4948522,0.8637876,-0.09482717,-0.8008303,0.49568304,0.33610854,0.13347249,0.58299226,-0.26053253
1735193290.4623141,indexFingerTipParent,1.0,-7.797411e-09,-1.1122971e-08,7.505427e-09,1.0000001,-4.1416783e-08,1.1212734e-08,-4.54952e-09,1.0,-0.022104949,0.0005451385,-0.00045247376
1735193290.4623141,indexFingerTipAnchor,0.7050637,0.65436196,0.27330554,-0.6557392,0.74833065,-0.100038625,-0.2699845,-0.10868365,0.9567113,-0.16940054,-0.043613374,-0.009363402
1735193290.4955978,handAnchor,0.337431,-0.09074698,0.9369661,0.49326763,0.8647966,-0.09388398,-0.8017653,0.4938543,0.33657166,0.13361728,0.5825896,-0.2612359
1735193290.4955978,indexFingerTipParent,0.99999994,-2.1883256e-08,-3.818812e-11,-2.1883256e-08,0.99999994,-1.7663488e-09,-1.586831e-08,-8.002004e-09,1.0,-0.022128671,0.00053804275,-0.00045725703
1735193290.4955978,indexFingerTipAnchor,0.7071913,0.6515988,0.2744072,-0.65384674,0.75040615,-0.09682383,-0.26900718,-0.11094729,0.95672643,-0.16938138,-0.04363265,-0.009418916
1735193290.5289989,handAnchor,0.3384289,-0.08913287,0.93676096,0.49208888,0.86529666,-0.09544671,-0.8020687,0.49327156,0.33670273,0.13356721,0.583019,-0.26135123
1735193290.5289989,indexFingerTipParent,1.0000001,1.6555383e-08,-4.092584e-09,1.5535875e-09,1.0000001,2.7937517e-08,5.4816773e-09,2.8376652e-08,1.0,-0.022158474,0.0005390458,-0.0004723668
1735193290.5289989,indexFingerTipAnchor,0.7085169,0.651982,0.2700439,-0.65358895,0.7505683,-0.09731053,-0.2661311,-0.10755158,0.957918,-0.16949175,-0.043531895,-0.0091703925
1735193290.562321,handAnchor,0.33811155,-0.08963275,0.9368281,0.49211678,0.86535037,-0.09481638,-0.80218565,0.4930872,0.3366947,0.13376898,0.5827946,-0.2618594
1735193290.562321,indexFingerTipParent,0.9999999,-1.1594921e-09,2.9202127e-08,1.2420999e-08,0.9999999,8.191865e-09,2.1110647e-08,1.8411583e-10,0.99999994,-0.022131354,0.0005381005,-0.00047834218
1735193290.562321,indexFingerTipAnchor,0.7062257,0.65572953,0.26695243,-0.657212,0.74740726,-0.097234115,-0.26328167,-0.106775194,0.9587918,-0.1692984,-0.043657526,-0.008811325
1735193290.595742,handAnchor,0.3377157,-0.08285722,0.9375941,0.49044,0.8657012,-0.1001496,-0.8033783,0.4936557,0.3329975,0.13373527,0.58309734,-0.26213342
1735193290.595742,indexFingerTipParent,1.0,3.6818523e-08,-1.5600527e-08,6.3258767e-09,1.0,-1.2467012e-08,1.7049597e-08,3.219322e-08,1.0,-0.022143543,0.00054323114,-0.0004799366
1735193290.595742,indexFingerTipAnchor,0.7091126,0.65492177,0.26122156,-0.653481,0.7495747,-0.105356395,-0.2648051,-0.095993765,0.95951205,-0.16959333,-0.042947084,-0.0081768725
1735193290.628964,handAnchor,0.33937836,-0.08606921,0.93670386,0.48556185,0.86890566,-0.096085005,-0.8056374,0.48743686,0.33667985,0.13357383,0.5834248,-0.26238278
1735193290.628964,indexFingerTipParent,0.9999999,-2.5946834e-08,-2.2908232e-08,-2.4915495e-08,0.9999999,1.8418984e-08,-6.153435e-09,-3.46619e-08,1.0,-0.022120267,0.0005369708,-0.0004886836
1735193290.628964,indexFingerTipAnchor,0.7023346,0.66248995,0.26044902,-0.6633369,0.74184686,-0.09822205,-0.25828454,-0.10378071,0.9604786,-0.169105,-0.043370795,-0.008367756
1735193290.662391,handAnchor,0.33740467,-0.083483756,0.9376505,0.48697194,0.86790687,-0.097958095,-0.80561566,0.48966107,0.33349004,0.13334727,0.58369696,-0.26271868
1735193290.662391,indexFingerTipParent,0.9999999,1.3309094e-08,-8.893821e-09,-1.6493228e-08,0.9999999,3.0465927e-08,-8.893821e-09,-2.9138718e-08,0.9999999,-0.022253484,0.000549864,-0.00047953427
1735193290.662391,indexFingerTipAnchor,0.6996749,0.66384417,0.26413113,-0.6610864,0.7417451,-0.1130409,-0.27095965,-0.09552164,0.9578392,-0.16922499,-0.04347984,-0.008403449
1735193290.695693,handAnchor,0.33597007,-0.07794993,0.9386418,0.48240405,0.8701757,-0.10040379,-0.8089568,0.4865372,0.32995626,0.1329473,0.58405936,-0.26309597
1735193290.695693,indexFingerTipParent,1.0,3.9203975e-08,1.9339648e-08,1.3124595e-09,0.99999994,1.6836221e-09,-7.908223e-09,6.3083725e-08,1.0,-0.022237062,0.0005388651,-0.00049197674
1735193290.695693,indexFingerTipAnchor,0.7037063,0.661743,0.25863728,-0.66183835,0.7429326,-0.10010366,-0.25839302,-0.10073248,0.9607735,-0.169278,-0.0430897,-0.007847551
