time,type,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z
1735189687.785468,handAnchor,-0.046623122,0.031879585,0.9984036,0.31202486,0.949943,-0.01576137,-0.9489292,0.31079188,-0.054236565,0.2790012,0.7202186,-0.36750674
1735189687.785468,indexFingerTipParent,0.99999994,1.3829611e-08,-3.1779557e-10,-3.3231487e-08,0.99999994,-1.6207684e-08,-3.949097e-09,3.502668e-08,0.99999994,-0.023220897,0.00021031871,1.4156103e-05
1735189687.785468,indexFingerTipAnchor,0.9619725,0.24238306,0.12593247,-0.24507599,0.96948457,0.00611244,-0.12060812,-0.03674296,0.99201983,-0.18559505,-0.022439366,0.014286848
1735189687.83007,handAnchor,-0.04871251,0.027489148,0.9984345,0.31331065,0.94958866,-0.010858225,-0.9484006,0.3122912,-0.05486952,0.2790014,0.72003525,-0.36750916
1735189687.83007,indexFingerTipParent,0.99999994,1.1177228e-08,-3.4988004e-09,-2.6466154e-09,1.0,-3.3270542e-09,8.322509e-09,3.4733837e-08,0.99999994,-0.02326727,0.00021328405,1.7032027e-05
1735189687.83007,indexFingerTipAnchor,0.9598565,0.24928075,0.12858535,-0.25265044,0.9675022,0.010331767,-0.12183115,-0.042404164,0.9916444,-0.18565977,-0.023146538,0.014150996
1735189687.8632889,handAnchor,-0.04916254,0.026974017,0.9984264,0.30458948,0.95242304,-0.01073318,-0.95121396,0.30358252,-0.05503954,0.27903226,0.71997696,-0.36772949
1735189687.8632889,indexFingerTipParent,1.0,3.0166575e-08,1.388571e-09,-1.15683925e-08,1.0,-9.684217e-09,4.638948e-09,-2.0971727e-08,0.99999994,-0.023335218,0.0002178587,1.54078e-05
1735189687.8632889,indexFingerTipAnchor,0.95873344,0.25394544,0.12783648,-0.25861922,0.9657487,0.021116612,-0.11809528,-0.053306136,0.99157053,-0.18586308,-0.023203949,0.014214375
1735189687.8854132,handAnchor,-0.051148627,0.02885018,0.9982742,0.30789298,0.9513488,-0.01171851,-0.95004517,0.3067622,-0.057542954,0.27861208,0.7201903,-0.367635
1735189687.8854132,indexFingerTipParent,0.99999994,7.810655e-09,8.7089385e-09,1.694952e-08,0.99999994,-9.027396e-09,1.1498426e-08,-2.9544047e-08,1.0,-0.023281455,0.00021436438,1.835823e-05
1735189687.8854132,indexFingerTipAnchor,0.9598418,0.2507215,0.12586747,-0.2533745,0.96735364,0.00526707,-0.12043762,-0.036947176,0.99203324,-0.18559723,-0.023048846,0.014380777
1735189687.91875,handAnchor,-0.050182845,0.027604442,0.9983588,0.30823362,0.9512495,-0.0108084185,-0.9499864,0.30718523,-0.05624502,0.278547,0.7202873,-0.36728162
1735189687.91875,indexFingerTipParent,1.0,-5.6609295e-09,-3.6928576e-09,1.096492e-08,1.0,3.1803e-09,7.1018933e-09,-1.8309098e-08,1.0,-0.02312547,0.00022564083,1.2010336e-05
1735189687.91875,indexFingerTipAnchor,0.95775753,0.26071143,0.121365696,-0.26373646,0.9645498,0.009280632,-0.114643715,-0.040897213,0.9925644,-0.18501523,-0.023033498,0.014831014
