time,type,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z
1735192912.555634,handAnchor,0.49514982,0.019882783,0.8685802,0.33609584,0.9175189,-0.21260057,-0.80116576,0.39719528,0.4476267,0.20032078,-0.34239528,0.010361478
1735192912.555634,indexFingerTipParent,1.0,2.716714e-09,5.042795e-08,2.5250877e-09,1.0,-8.6594376e-10,-5.3972578e-08,2.8744752e-08,1.0000001,-0.022043437,0.000104382634,-0.0006684065
1735192912.555634,indexFingerTipAnchor,0.93034506,0.3332524,0.15297326,-0.33480287,0.9421474,-0.016282095,-0.14954951,-0.036068,0.98809624,-0.17521709,-0.023150163,0.004507945
1735192912.5889978,handAnchor,0.51118785,0.024296831,0.85912544,0.3298148,0.91752535,-0.22219138,-0.79366803,0.3969338,0.46101445,0.1437948,0.59016746,-0.23237872
1735192912.5889978,indexFingerTipParent,1.0,1.5626398e-08,-2.553353e-10,-1.3820255e-08,1.0,1.9829116e-09,-2.6202772e-08,3.196307e-08,1.0,-0.022055238,0.0001077652,-0.0006659627
1735192912.5889978,indexFingerTipAnchor,0.9298259,0.333427,0.15572646,-0.3345464,0.94217217,-0.019751344,-0.15330704,-0.033732504,0.9876027,-0.17545873,-0.022886325,0.0043758163
1735192912.6222858,handAnchor,0.50970274,0.03378875,0.8596868,0.32346565,0.91839105,-0.22787678,-0.7972284,0.39422855,0.45717698,0.14360243,0.5909891,-0.23218471
1735192912.6222858,indexFingerTipParent,0.99999994,1.9525942e-08,5.2320814e-09,3.0737745e-08,0.99999994,1.2955148e-09,-1.0254233e-08,3.4566483e-08,1.0,-0.022078991,0.00010356307,-0.0006695092
1735192912.6222858,indexFingerTipAnchor,0.93222874,0.32913095,0.15040536,-0.33034983,0.94369537,-0.017537054,-0.14770868,-0.033337772,0.98846877,-0.17600632,-0.022259472,0.0048022587
1735192912.644435,handAnchor,0.50617504,0.041487925,0.8614324,0.3178435,0.9195602,-0.23105131,-0.8017247,0.39075312,0.45227164,0.14319934,0.5925445,-0.23158665
1735192912.644435,indexFingerTipParent,1.0,-4.518739e-08,-1.7820419e-08,2.0567796e-08,1.0,-1.3037926e-09,2.3807793e-08,6.0130034e-09,1.0,-0.022133201,9.9763274e-05,-0.0006736666
1735192912.644435,indexFingerTipAnchor,0.93320334,0.3288595,0.14485508,-0.33015367,0.94379663,-0.015711188,-0.14188063,-0.033162747,0.9893283,-0.17684656,-0.022477733,0.005017981
