id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd,error_x,error_y,error_z,affine_matrix
14,515,51540,15400,4005,[20 45 10],[45  5 15],[ 55  30 -25],[ 45  10 -75],-7.105427357601002e-15,-1.4432899320127035e-14,-2.1316282072803006e-14,"[[1.0, -4.3866253447622295e-17, 1.259360775287829e-17, -7.114057379174657e-15], [4.3866253447622307e-17, 0.9999999999999999, -4.710807398348356e-16, -7.12494476933782e-15], [-1.2593607752878271e-17, 3.885780586188048e-16, 1.0, -2.0708721781524878e-14], [0.0, 0.0, 0.0, 1.0]]"
15,515,51545,15450,4505,[20  9 65],[ 9 55 20],[19 44 25],[  9  24 -35],-7.815970093361102e-14,-1.0502709812953981e-13,-3.552713678800501e-15,"[[1.0, 5.650846966052612e-15, -1.936419106034557e-15, -5.426597934898583e-14], [-5.654652127399655e-15, 0.9999999999999997, -1.481623688000364e-16, 1.7195631367718334e-14], [1.942890293094024e-15, 2.7755575615628914e-16, 1.0, -4.693551762595906e-14], [0.0, 0.0, 0.0, 1.0]]"
16,515,51550,15500,5005,[20 55 20],[55  5 25],[ 65  40 -25],[ 55  20 -95],8.171241461241152e-14,-2.5757174171303632e-14,7.105427357601002e-15,"[[1.0, -4.589734717756908e-16, 1.1646824184030266e-16, 7.917180549841821e-14], [4.589734717756908e-16, 0.9999999999999998, 4.228438296237995e-16, -4.250139611243689e-14], [-1.1646824184030286e-16, -6.661338147750939e-16, 0.9999999999999999, 1.6436556550173162e-14], [0.0, 0.0, 0.0, 1.0]]"
17,520,52010,20100,1005,[ 25  20 -30],[ 15  10 -25],[ 30   0 -35],[ 20 -30 -15],8.171241461241152e-14,-5.3734794391857577e-14,7.638334409421077e-14,"[[1.0, -1.0590507013309395e-15, 1.634581876961354e-15, 6.045761232642812e-14], [1.0382826967013058e-15, 1.0, -2.3278572893379686e-16, -6.780508103268407e-14], [-1.6653345369377348e-15, 8.326672684688674e-17, 1.0, 1.0472039674889503e-13], [0.0, 0.0, 0.0, 1.0]]"
18,520,52015,20150,1505,[25 11 25],[  6  60 -20],[21 41 15],[11 11 25],1.0658141036401503e-14,6.838973831690964e-14,-3.552713678800501e-14,"[[1.0, 1.756578000945928e-14, 1.0894693590543787e-15, -7.119201067885851e-14], [-1.7377202644596468e-14, 0.9999999999999998, 1.9157124544827473e-14, 8.195892077747508e-14], [-1.304512053934559e-15, -1.9373391779708982e-14, 1.0, 5.766501039840666e-14], [0.0, 0.0, 0.0, 1.0]]"
19,520,52025,20250,2505,[25 12 35],[  7  60 -10],[22 42 15],[12 12  5],-6.039613253960852e-14,-6.52811138479592e-14,-7.105427357601002e-14,"[[1.0, 6.891466187170655e-16, -3.639047381085159e-15, -7.99287762688769e-15], [-6.891466187170776e-16, 0.9999999999999998, -3.221841398336687e-15, -4.658350522572398e-15], [3.639047381085158e-15, 3.219646771412954e-15, 0.9999999999999998, -1.4038736237279532e-13], [0.0, 0.0, 0.0, 1.0]]"
20,520,52030,20300,3005,[ 25  40 -10],[35 10 -5],[ 50  20 -35],[ 40 -10 -55],-2.842170943040401e-14,1.687538997430238e-14,-7.105427357601002e-15,"[[1.0, 6.936939223411584e-16, -1.567860869702889e-16, -2.6066164758386785e-14], [-6.936939223411581e-16, 1.0000000000000004, -2.6237380627093673e-17, 2.731848726389855e-14], [1.5678608697028884e-16, -2.220446049250313e-16, 1.0, -9.946736950051636e-15], [0.0, 0.0, 0.0, 1.0]]"
21,520,52035,20350,3505,[25 13 45],[ 8 60  0],[23 43 15],[ 13  13 -15],3.552713678800501e-14,2.0872192862952943e-14,-1.7763568394002505e-14,"[[1.0, -2.704867256969686e-16, 1.4769690770934207e-15, 1.5055686879603365e-14], [2.7048672569696845e-16, 1.0, 4.480554114231238e-17, 1.5445497327077417e-14], [-1.4769690770934205e-15, -5.551115123125783e-17, 1.0, 7.914024995065778e-15], [0.0, 0.0, 0.0, 1.0]]"
22,520,52040,20400,4005,[25 50  0],[45 10  5],[ 60  30 -35],[ 50   0 -75],2.842170943040401e-14,-1.199040866595169e-14,-1.0658141036401503e-14,"[[1.0, -1.0886997520694099e-16, -4.973522531631527e-16, 3.692407159866546e-14], [1.0886997520694081e-16, 1.0, -3.8711397140377583e-16, -8.15432243638834e-15], [4.973522531631527e-16, 3.885780586188048e-16, 1.0, -2.0293451177316167e-14], [0.0, 0.0, 0.0, 1.0]]"
23,520,52045,20450,4505,[25 14 55],[ 9 60 10],[24 44 15],[ 14  14 -35],3.197442310920451e-14,1.9984014443252818e-14,-4.085620730620576e-14,"[[1.0, -9.514004513494123e-18, 2.5436641676526613e-16, 2.870152760658384e-14], [9.514004513493836e-18, 1.0, 1.1248396766522358e-15, 3.213699626902254e-15], [-2.5436641676526613e-16, -1.1258355359089478e-15, 1.0, -3.3974442024600035e-14], [0.0, 0.0, 0.0, 1.0]]"
